k,c,m,t,x
200,2,1,0.36530442035029187,0.2516467277876963
200,2,1,0.36613844870725604,0.25904429671227697
200,2,1,0.36697247706422015,0.26639352840244335
200,2,1,0.3678065054211843,0.2736934818543778
200,2,1,0.3686405337781484,0.2809432244824254
200,2,1,0.3694745621351126,0.2881418322347022
200,2,1,0.3703085904920767,0.29528838970731347
200,2,1,0.3711426188490409,0.3023819902571884
200,2,1,0.371976647206005,0.30942173611350243
200,2,1,0.37281067556296915,0.3164067384876844
200,2,1,0.37364470391993326,0.3233361176819882
200,2,1,0.3744787322768974,0.3302090031966248
200,2,1,0.37531276063386154,0.337024533835435
200,2,1,0.37614678899082565,0.3437818578100877
200,2,1,0.3769808173477898,0.35048013284280694
200,2,1,0.37781484570475393,0.3571185262675954
200,2,1,0.3786488740617181,0.36369621512996214
200,2,1,0.3794829024186822,0.37021238628512737
200,2,1,0.3803169307756464,0.3766662364947035
200,2,1,0.3811509591326105,0.3830569725218353
200,2,1,0.38198498748957466,0.38938381122479654
200,2,1,0.38281901584653877,0.3956459796490209
200,2,1,0.3836530442035029,0.40184271511756764
200,2,1,0.38448707256046705,0.40797326532000705
200,2,1,0.38532110091743116,0.41403688839971425
200,2,1,0.3861551292743953,0.4200328530395697
200,2,1,0.38698915763135944,0.42596043854604676
200,2,1,0.3878231859883236,0.43181893493168483
200,2,1,0.3886572143452877,0.43760764299593513
200,2,1,0.3894912427022519,0.4433258744043758
200,2,1,0.390325271059216,0.44897295176628105
200,2,1,0.39115929941618016,0.4545482087105413
200,2,1,0.3919933277731443,0.4600509899599234
200,2,1,0.3928273561301084,0.4654806514036689
200,2,1,0.39366138448707255,0.47083656016841524
200,2,1,0.39449541284403666,0.4761180946874381
200,2,1,0.39532944120100083,0.4813246447682072
200,2,1,0.39616346955796494,0.4864556116582466
200,2,1,0.3969974979149291,0.49151040810929825
200,2,1,0.3978315262718932,0.49648845843977685
200,2,1,0.3986655546288574,0.5013891985955136
200,2,1,0.3994995829858215,0.5062120762087815
200,2,1,0.40033361134278567,0.5109565506556002
200,2,1,0.4011676396997498,0.5156220931113111
200,2,1,0.4020016680567139,0.5202081866044198
200,2,1,0.40283569641367806,0.5247143260687015
200,2,1,0.40366972477064217,0.5291400183935643
200,2,1,0.40450375312760634,0.5334847824726677
200,2,1,0.40533778148457045,0.5377481492507911
200,2,1,0.4061718098415346,0.5419296617689476
200,2,1,0.4070058381984987,0.5460288752077427
200,2,1,0.4078398665554629,0.5500453569289735
200,2,1,0.408673894912427,0.5539786865154641
200,2,1,0.4095079232693911,0.5578284558091371
200,2,1,0.4103419516263553,0.5615942689473167
200,2,1,0.4111759799833194,0.5652757423972616
200,2,1,0.41201000834028356,0.5688725049889293
200,2,1,0.4128440366972477,0.5723841979459636
200,2,1,0.41367806505421184,0.5758104749149111
200,2,1,0.41451209341117595,0.5791510019926583
200,2,1,0.4153461217681401,0.5824054577520972
200,2,1,0.41618015012510423,0.5855735332660087
200,2,1,0.4170141784820684,0.5886549321291747
200,2,1,0.4178482068390325,0.5916493704787055
200,2,1,0.4186822351959966,0.594556577012596
